,symbol,start_date,end_date
413,FU1103,2010-11-10,2011-01-11
414,FU1105,2011-01-12,2011-04-06
415,FU1109,2011-04-07,2011-08-10
416,FU1112,2011-08-11,2011-11-30
417,FU1203,2011-12-01,2012-02-01
418,FU1205,2012-02-02,2012-04-27
419,FU1209,2012-05-02,2012-08-08
420,FU1301,2012-08-09,2012-12-13
421,FU1305,2012-12-14,2013-04-26
422,FU1309,2013-05-02,2013-07-02
423,FU1311,2013-07-03,2013-08-22
424,FU1403,2013-08-23,2013-10-28
425,FU1408,2013-10-29,2014-01-06
426,FU1411,2014-01-07,2014-08-26
427,FU1505,2014-08-27,2015-02-03
428,FU1506,2015-02-04,2015-05-29
429,FU1509,2015-06-01,2015-08-31
430,FU1510,2015-09-01,2015-09-30
431,FU1601,2015-10-08,2015-10-28
432,FU1605,2015-10-29,2016-03-04
433,FU1607,2016-03-07,2016-04-15
434,FU1702,2016-04-18,2016-06-07
435,FU1704,2016-06-08,2017-03-31
436,FU1711,2017-04-05,2017-06-15
437,FU1804,2017-06-16,2018-03-30
438,FU1807,2018-04-02,2018-06-26
439,FU1812,2018-06-27,2018-06-29
440,FU1808,2018-07-02,2018-07-04
441,FU1901,2018-07-17,2018-11-19
442,FU1905,2018-11-20,2019-04-08
443,FU1909,2019-04-09,
444,FG1305,2012-12-04,2013-01-30
445,FG1309,2013-01-31,2013-06-21
446,FG1401,2013-06-24,2013-10-30
447,FG1405,2013-10-31,2014-03-18
448,FG1409,2014-03-19,2014-07-10
449,FG1501,2014-07-11,2014-11-14
450,FG1506,2014-11-17,2015-04-08
451,FG1509,2015-04-09,2015-08-10
452,FG1601,2015-08-11,2015-12-02
453,FG1605,2015-12-03,2016-04-07
454,FG1609,2016-04-08,2016-08-12
455,FG1701,2016-08-15,2016-12-05
456,FG1705,2016-12-06,2017-04-11
457,FG1709,2017-04-12,2017-08-10
458,FG1801,2017-08-11,2017-11-29
459,FG1805,2017-11-30,2018-04-10
460,FG1809,2018-04-11,2018-08-09
461,FG1901,2018-08-10,2018-12-13
462,FG1905,2018-12-14,2019-04-12
463,FG1909,2019-04-15,
464,CU0503,2005-01-04,2005-01-28
465,CU0504,2005-01-31,2005-03-01
466,CU0505,2005-03-02,2005-03-25
467,CU0506,2005-03-28,2005-04-21
468,CU0507,2005-04-22,2005-06-01
469,CU0508,2005-06-02,2005-07-04
470,CU0509,2005-07-05,2005-08-02
471,CU0510,2005-08-03,2005-08-31
472,CU0511,2005-09-01,2005-09-23
473,CU0512,2005-09-26,2005-10-26
474,CU0601,2005-10-27,2005-12-01
475,CU0602,2005-12-02,2005-12-26
476,CU0603,2005-12-27,2006-01-24
477,CU0604,2006-01-25,2006-02-24
478,CU0605,2006-02-27,2006-03-23
479,CU0606,2006-03-24,2006-04-19
480,CU0607,2006-04-20,2006-05-16
481,CU0608,2006-05-17,2006-06-16
482,CU0609,2006-06-19,2006-07-21
483,CU0610,2006-07-24,2006-09-07
484,CU0611,2006-09-08,2006-10-18
485,CU0612,2006-10-19,2006-11-03
486,CU0701,2006-11-06,2006-12-07
487,CU0702,2006-12-08,2007-01-08
488,CU0703,2007-01-09,2007-01-31
489,CU0704,2007-02-01,2007-03-01
490,CU0705,2007-03-02,2007-03-21
491,CU0706,2007-03-22,2007-04-12
492,CU0707,2007-04-13,2007-05-18
493,CU0708,2007-05-21,2007-06-19
494,CU0709,2007-06-20,2007-07-24
495,CU0710,2007-07-25,2007-08-23
496,CU0711,2007-08-24,2007-09-21
497,CU0712,2007-09-24,2007-10-23
498,CU0801,2007-10-24,2007-11-22
499,CU0802,2007-11-23,2007-12-24
500,CU0803,2007-12-25,2008-01-17
501,CU0804,2008-01-18,2008-02-19
502,CU0805,2008-02-20,2008-03-18
503,CU0806,2008-03-19,2008-04-18
