id,trade_date
9360,2019-07-04
9361,2019-07-05
9362,2019-07-08
9363,2019-07-09
9364,2019-07-10
9365,2019-07-11
9366,2019-07-12
9367,2019-07-15
9368,2019-07-16
9369,2019-07-17
9370,2019-07-18
9371,2019-07-19
9372,2019-07-22
9373,2019-07-23
9374,2019-07-24
9375,2019-07-25
9376,2019-07-26
9377,2019-07-29
9378,2019-07-30
9379,2019-07-31
9380,2019-08-01
9381,2019-08-02
9382,2019-08-05
9383,2019-08-06
9384,2019-08-07
9385,2019-08-08
9386,2019-08-09
9387,2019-08-12
9388,2019-08-13
9389,2019-08-14
9390,2019-08-15
9391,2019-08-16
9392,2019-08-19
9393,2019-08-20
9394,2019-08-21
9395,2019-08-22
9396,2019-08-23
9397,2019-08-26
9398,2019-08-27
9399,2019-08-28
9400,2019-08-29
9401,2019-08-30
9402,2019-09-02
9403,2019-09-03
9404,2019-09-04
9405,2019-09-05
9406,2019-09-06
9407,2019-09-09
9408,2019-09-10
9409,2019-09-11
9410,2019-09-12
9411,2019-09-16
9412,2019-09-17
9413,2019-09-18
9414,2019-09-19
9415,2019-09-20
9416,2019-09-23
9417,2019-09-24
9418,2019-09-25
9419,2019-09-26
9420,2019-09-27
9421,2019-09-30
9422,2019-10-08
9423,2019-10-09
9424,2019-10-10
9425,2019-10-11
9426,2019-10-14
9427,2019-10-15
9428,2019-10-16
9429,2019-10-17
9430,2019-10-18
9431,2019-10-21
9432,2019-10-22
9433,2019-10-23
9434,2019-10-24
9435,2019-10-25
9436,2019-10-28
9437,2019-10-29
9438,2019-10-30
9439,2019-10-31
9440,2019-11-01
9441,2019-11-04
9442,2019-11-05
9443,2019-11-06
9444,2019-11-07
9445,2019-11-08
9446,2019-11-11
9447,2019-11-12
9448,2019-11-13
9449,2019-11-14
9450,2019-11-15
9451,2019-11-18
9452,2019-11-19
9453,2019-11-20
9454,2019-11-21
9455,2019-11-22
9456,2019-11-25
9457,2019-11-26
9458,2019-11-27
9459,2019-11-28
9460,2019-11-29
9461,2019-12-02
9462,2019-12-03
9463,2019-12-04
9464,2019-12-05
9465,2019-12-06
9466,2019-12-09
9467,2019-12-10
9468,2019-12-11
9469,2019-12-12
9470,2019-12-13
9471,2019-12-16
9472,2019-12-17
9473,2019-12-18
9474,2019-12-19
9475,2019-12-20
9476,2019-12-23
9477,2019-12-24
9478,2019-12-25
9479,2019-12-26
9480,2019-12-27
9481,2019-12-30
9482,2019-12-31
9483,2020-01-02
9484,2020-01-03
9485,2020-01-06
9486,2020-01-07
9487,2020-01-08
